Etc/GMT+12                      |GMT-12:00|no |primary    |fallback
Etc/GMT+11                      |GMT-11:00|no |primary    |fallback
Pacific/Midway                  |GMT-11:00|no |alternative|not
Pacific/Niue                    |GMT-11:00|no |alternative|not
Pacific/Pago_Pago               |GMT-11:00|no |alternative|not
Pacific/Samoa                   |GMT-11:00|no |alternative|not
US/Samoa                        |GMT-11:00|no |alternative|fallback
US/Aleutian                     |GMT-10:00|yes|primary    |not
America/Adak                    |GMT-10:00|yes|alternative|not
America/Atka                    |GMT-10:00|yes|alternative|not
HST                             |GMT-10:00|no |alternative|not
US/Hawaii                       |GMT-10:00|no |primary    |fallback
Pacific/Honolulu                |GMT-10:00|no |alternative|not
Pacific/Johnston                |GMT-10:00|no |alternative|not
Pacific/Rarotonga               |GMT-10:00|no |alternative|not
Pacific/Tahiti                  |GMT-10:00|no |alternative|not
SystemV/HST10                   |GMT-10:00|no |alternative|not
Etc/GMT+10                      |GMT-10:00|no |alternative|not
Pacific/Marquesas               |GMT-09:30|no |primary    |fallback
US/Alaska                       |GMT-09:00|yes|primary    |fallback
AST                             |GMT-09:00|yes|alternative|not
America/Anchorage               |GMT-09:00|yes|alternative|not
America/Juneau                  |GMT-09:00|yes|alternative|not
America/Nome                    |GMT-09:00|yes|alternative|not
America/Sitka                   |GMT-09:00|yes|alternative|not
America/Yakutat                 |GMT-09:00|yes|alternative|not
SystemV/YST9YDT                 |GMT-09:00|yes|alternative|not
SystemV/YST9                    |GMT-09:00|no |primary    |not
Etc/GMT+9                       |GMT-09:00|no |alternative|not
Pacific/Gambier                 |GMT-09:00|no |alternative|not
US/Pacific                      |GMT-08:00|yes|primary    |fallback
America/Dawson                  |GMT-08:00|yes|alternative|not
America/Ensenada                |GMT-08:00|yes|alternative|not
America/Los_Angeles             |GMT-08:00|yes|alternative|not
America/Santa_Isabel            |GMT-08:00|yes|alternative|not
America/Tijuana                 |GMT-08:00|yes|alternative|not
America/Vancouver               |GMT-08:00|yes|alternative|not
America/Whitehorse              |GMT-08:00|yes|alternative|not
Canada/Pacific                  |GMT-08:00|yes|alternative|not
Canada/Yukon                    |GMT-08:00|yes|alternative|not
Mexico/BajaNorte                |GMT-08:00|yes|alternative|not
PST                             |GMT-08:00|yes|alternative|not
PST8PDT                         |GMT-08:00|yes|alternative|not
SystemV/PST8PDT                 |GMT-08:00|yes|alternative|not
US/Pacific-New                  |GMT-08:00|yes|alternative|not
SystemV/PST8                    |GMT-08:00|no |primary    |not
America/Metlakatla              |GMT-08:00|no |alternative|not
Etc/GMT+8                       |GMT-08:00|no |alternative|not
Pacific/Pitcairn                |GMT-08:00|no |alternative|not
US/Mountain                     |GMT-07:00|yes|primary    |fallback
America/Boise                   |GMT-07:00|yes|alternative|not
America/Cambridge_Bay           |GMT-07:00|yes|alternative|not
America/Chihuahua               |GMT-07:00|yes|alternative|not
America/Denver                  |GMT-07:00|yes|alternative|not
America/Edmonton                |GMT-07:00|yes|alternative|not
America/Inuvik                  |GMT-07:00|yes|alternative|not
America/Mazatlan                |GMT-07:00|yes|alternative|not
America/Ojinaga                 |GMT-07:00|yes|alternative|not
America/Shiprock                |GMT-07:00|yes|alternative|not
America/Yellowknife             |GMT-07:00|yes|alternative|not
Canada/Mountain                 |GMT-07:00|yes|alternative|not
MST7MDT                         |GMT-07:00|yes|alternative|not
Mexico/BajaSur                  |GMT-07:00|yes|alternative|not
Navajo                          |GMT-07:00|yes|alternative|not
SystemV/MST7MDT                 |GMT-07:00|yes|alternative|not
US/Arizona                      |GMT-07:00|no |primary    |not
PNT                             |GMT-07:00|no |alternative|not
SystemV/MST7                    |GMT-07:00|no |alternative|not
America/Creston                 |GMT-07:00|no |alternative|not
America/Dawson_Creek            |GMT-07:00|no |alternative|not
America/Hermosillo              |GMT-07:00|no |alternative|not
America/Phoenix                 |GMT-07:00|no |alternative|not
Etc/GMT+7                       |GMT-07:00|no |alternative|not
MST                             |GMT-07:00|no |alternative|not
US/Central                      |GMT-06:00|yes|primary    |fallback
America/Bahia_Banderas          |GMT-06:00|yes|alternative|not
America/Cancun                  |GMT-06:00|yes|alternative|not
America/Chicago                 |GMT-06:00|yes|alternative|not
America/Indiana/Knox            |GMT-06:00|yes|alternative|not
America/Indiana/Tell_City       |GMT-06:00|yes|alternative|not
America/Knox_IN                 |GMT-06:00|yes|alternative|not
America/Matamoros               |GMT-06:00|yes|alternative|not
America/Menominee               |GMT-06:00|yes|alternative|not
America/Merida                  |GMT-06:00|yes|alternative|not
America/Mexico_City             |GMT-06:00|yes|alternative|not
America/Monterrey               |GMT-06:00|yes|alternative|not
America/North_Dakota/Beulah     |GMT-06:00|yes|alternative|not
America/North_Dakota/Center     |GMT-06:00|yes|alternative|not
America/North_Dakota/New_Salem  |GMT-06:00|yes|alternative|not
America/Rainy_River             |GMT-06:00|yes|alternative|not
America/Rankin_Inlet            |GMT-06:00|yes|alternative|not
America/Resolute                |GMT-06:00|yes|alternative|not
America/Winnipeg                |GMT-06:00|yes|alternative|not
CST                             |GMT-06:00|yes|alternative|not
CST6CDT                         |GMT-06:00|yes|alternative|not
Canada/Central                  |GMT-06:00|yes|alternative|not
Chile/EasterIsland              |GMT-06:00|yes|alternative|not
Mexico/General                  |GMT-06:00|yes|alternative|not
Pacific/Easter                  |GMT-06:00|yes|alternative|not
