ROC,Asia/Taipei
AKDT,America/Juneau
AKST,America/Juneau
BDT,Asia/Dhaka
BRST,America/Sao_Paulo
BRT,America/Sao_Paulo
CDT,America/Chicago
CEST,Europe/Paris
CLST,America/Santiago
CLT,America/Santiago
COT,America/Bogota
EDT,America/New_York
EEST,Europe/Istanbul
GST,Asia/Dubai
HKT,Asia/Hong_Kong
ICT,Asia/Bangkok
IRST,Asia/Tehran
KST,Asia/Seoul
MDT,America/Denver
MSD,Europe/Moscow
MSK,Europe/Moscow
NZDT,Pacific/Auckland
NZST,Pacific/Auckland
PDT,America/Los_Angeles
PET,America/Lima
PHT,Asia/Manila
PKT,Asia/Karachi
SGT,Asia/Singapore
WAT,Africa/Lagos
WEST,Europe/Lisbon
WIT,Asia/Jakarta
